ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
58,4,4,3,5,3,4,2,2,2,3
59,3,3,3,4,3,4,4,2,4,3
60,2,3,2,3,4,4,2,2,4,2
61,2,2,2,4,4,5,2,2,4,2
62,3,3,3,4,4,4,2,2,2,3
63,3,3,3,2,3,3,3,2,3,3
64,4,4,4,3,3,4,2,4,2,4
65,4,3,1,4,5,5,2,3,2,4
66,3,3,3,2,3,4,3,4,3,3
67,4,3,3,4,5,4,2,2,2,3
68,3,3,2,3,5,4,3,2,3,1
69,3,4,4,3,4,4,3,2,2,3
70,3,3,2,4,4,4,2,1,1,2
71,4,4,4,4,4,5,3,1,3,2
72,1,2,2,4,4,4,2,4,4,2
73,3,3,4,3,3,4,3,4,4,3
74,4,4,4,4,4,3,2,4,4,3
75,4,4,4,2,4,4,2,2,2,3
76,4,4,4,3,2,3,2,4,4,3
77,4,4,3,4,3,4,2,2,2,3
78,2,3,3,3,3,4,4,2,3,3
79,4,4,4,4,5,4,2,2,2,3
80,2,3,4,2,5,5,1,2,4,3
81,4,4,4,4,4,4,2,2,3,2
82,4,4,4,4,4,4,2,2,2,3
83,3,3,2,4,4,4,2,2,4,2
84,4,2,2,4,4,4,2,4,2,2
85,2,2,1,3,5,4,2,2,3,3
86,4,4,4,2,5,4,3,2,2,2
87,4,4,4,3,4,4,1,2,2,3
88,5,5,5,4,5,4,2,1,2,3
89,3,4,4,4,4,4,3,2,3,3
90,3,4,3,4,4,4,2,4,3,3
91,4,4,4,5,5,5,1,2,3,3
92,4,4,4,3,4,4,2,1,2,3
93,5,5,4,5,5,4,2,1,5,5
94,3,3,3,3,4,4,3,4,2,
95,4,4,4,3,4,3,3,3,3,2
96,2,3,2,3,4,4,2,2,3,2
97,2,3,3,4,3,4,2,2,3,3
98,4,4,4,3,3,4,2,3,4,3
99,3,3,4,3,2,3,2,4,2,3
100,3,4,3,4,4,5,3,2,3,3
101,2,1,1,2,3,3,2,2,4,1
102,3,3,3,3,4,4,2,2,2,2
103,4,1,1,1,5,4,2,4,4,1
104,4,4,4,4,5,4,2,3,2,3
105,3,3,4,3,3,4,3,2,3,3
106,4,4,3,4,4,4,2,3,2,2
107,4,4,3,3,4,4,2,2,2,4
108,4,4,4,3,4,4,2,4,2,3
109,3,4,3,3,3,3,2,2,3,3
110,3,4,3,3,4,3,2,3,4,3
111,4,4,4,2,3,3,3,3,4,3
112,3,3,3,3,4,3,3,2,3,2
113,3,3,3,4,4,4,2,4,2,3
114,3,3,3,4,3,3,2,2,3,3
115,3,4,4,2,4,4,2,4,2,2
116,3,4,3,4,4,4,2,4,4,2
117,3,3,3,3,4,4,2,3,3,3
118,4,4,4,3,5,4,2,2,2,3
119,4,4,3,4,5,4,2,2,1,2
120,4,4,3,3,4,4,2,4,4,3
121,5,5,5,5,5,5,2,5,5,5
122,5,5,5,3,5,5,3,2,2,1
123,2,3,4,3,4,4,3,2,2,2
124,4,4,4,3,3,5,2,3,3,1
125,3,4,4,4,4,3,2,2,2,3
126,4,3,4,4,4,5,1,1,3,2
127,3,4,5,3,5,3,2,1,2,3
128,3,4,4,3,4,3,3,2,2,2
129,4,4,3,3,3,4,3,4,2,2
130,5,4,5,4,4,4,2,2,2,4
131,5,4,5,5,5,4,2,2,2,3
132,3,4,4,3,4,4,2,2,4,3
133,5,4,2,3,4,4,2,3,4,3
134,5,5,4,4,4,4,2,2,1,3
135,4,4,5,3,4,5,1,2,1,4
136,4,4,4,4,5,4,3,2,3,3
137,4,4,4,4,5,5,2,2,1,2
138,3,2,3,2,3,2,3,5,5,5
139,3,3,3,3,3,4,2,2,2,1
140,4,4,4,3,4,4,2,2,2,3
141,4,3,3,3,4,4,2,2,2,2
142,3,3,3,1,4,3,4,2,2,2
143,4,4,3,4,4,5,3,1,1,3
144,3,3,3,3,3,4,2,2,2,3
145,4,4,3,3,4,4,2,2,3,2
146,4,4,4,4,4,4,2,2,3,2
147,3,4,4,2,3,3,4,3,2,2
148,3,3,4,3,4,4,2,3,4,3
149,4,4,3,4,5,5,2,2,,3
150,4,4,4,3,4,4,2,4,2,2
151,4,4,4,4,4,4,2,3,3,2
152,4,4,4,4,3,4,2,4,3,3
153,3,4,3,4,4,4,2,2,2,2
154,3,3,3,4,4,4,2,2,2,2
155,3,3,4,3,4,4,3,2,2,3
156,3,3,4,4,3,3,3,2,2,3
157,3,3,4,4,3,4,3,2,2,3
158,4,3,2,4,4,4,2,2,3,3
159,4,4,4,4,4,4,2,3,2,3
160,4,4,4,3,4,3,2,3,2,4
161,5,5,5,3,4,4,2,2,2,3
162,4,4,4,4,4,4,1,3,2,3
163,4,4,4,2,2,3,3,2,4,2
164,3,4,4,4,3,4,3,2,3,3
165,3,3,3,4,4,4,2,2,2,2
166,3,3,3,5,4,5,1,2,5,2
167,4,4,3,4,4,3,2,2,4,2
168,4,4,3,4,3,5,2,1,3,2
169,4,3,4,4,4,4,2,4,4,3
170,5,5,4,4,3,5,2,4,2,4
171,3,3,3,3,3,3,3,4,4,3
172,3,4,4,4,4,5,2,2,2,3
173,4,3,3,4,4,3,2,2,2,3
174,4,4,4,3,4,4,3,2,2,3
175,4,5,4,4,4,4,2,2,2,3
176,4,4,4,4,3,4,3,3,2,3
177,4,4,4,4,4,4,2,2,2,3
178,4,3,4,3,4,4,2,2,2,4
179,4,3,4,3,4,4,2,2,2,4
180,4,4,4,3,4,4,2,2,2,4
181,3,2,3,3,5,4,2,4,3,4
182,4,5,4,3,4,4,2,4,2,3
183,4,4,4,4,3,4,2,4,2,3
184,4,4,4,3,4,4,2,2,2,4
185,3,3,3,3,3,3,3,4,4,3
186,4,4,3,4,4,4,2,2,2,4
187,3,3,3,4,4,4,2,2,2,2
188,4,4,4,3,4,3,2,2,2,2
189,3,3,3,3,3,3,3,4,4,3
190,3,3,4,4,3,3,3,2,2,3
191,3,3,3,3,4,4,2,3,3,3
192,3,2,3,2,4,3,4,1,2,2
193,4,4,3,3,4,4,3,4,2,2
194,4,3,3,3,4,3,2,3,3,3
195,4,4,4,3,4,4,3,3,3,3
196,4,4,4,2,5,3,3,3,3,3
197,3,3,3,4,5,3,2,2,3,3
198,4,4,4,4,4,4,2,2,1,1
199,2,2,4,4,3,4,4,2,2,3
200,4,4,4,4,5,5,2,1,3,3
201,3,3,3,2,4,4,2,3,4,2
202,4,4,3,3,4,4,2,4,2,2
203,4,4,3,3,4,4,2,2,2,2
204,3,3,4,4,4,5,2,2,3,4
205,4,3,3,3,3,3,3,2,2,3
206,5,4,4,4,4,5,2,3,2,3
207,3,4,2,4,4,5,2,2,4,2
208,4,3,3,3,3,4,3,2,2,3
209,4,4,4,4,4,5,2,2,2,4
210,3,3,3,4,3,3,2,2,3,2
211,4,4,4,3,4,4,2,2,2,3
212,5,5,2,2,2,4,4,4,3,4
213,3,4,4,2,4,4,2,3,3,4
214,3,3,3,3,4,3,2,3,3,3
215,4,5,4,4,5,4,2,2,2,4
216,4,4,4,3,5,3,3,2,4,3
217,5,5,3,2,2,4,4,4,4,4
218,4,4,2,4,4,4,2,2,2,4
219,4,4,4,3,4,4,2,2,3,3
220,3,3,4,2,4,5,2,2,4,3
221,4,4,4,3,3,3,3,2,2,3
222,2,3,2,2,3,4,2,4,4,2
223,4,4,4,3,4,3,2,3,3,3
224,4,4,3,4,2,3,3,3,2,3
225,4,4,3,3,4,4,2,2,2,3
226,4,4,4,2,4,4,3,2,2,4
227,2,2,1,2,3,3,3,2,3,2
228,4,4,3,4,4,4,2,4,2,2
229,4,4,1,2,5,4,3,1,2,3
230,4,4,3,3,4,3,3,3,2,3
231,3,4,4,2,4,3,3,2,4,2
232,2,3,3,3,3,3,5,5,1,3
233,4,3,4,3,4,3,3,2,2,2
234,4,4,4,3,4,4,2,2,2,3
235,4,4,4,4,4,4,3,2,2,3
236,3,3,3,3,3,4,3,3,3,3
237,3,4,4,3,4,3,2,2,4,3
238,3,4,4,4,4,4,3,2,4,3
239,2,4,3,4,4,4,3,2,2,2
240,2,4,3,3,4,4,2,2,2,3
241,2,3,4,2,3,3,3,2,2,3
242,2,2,2,3,4,3,4,3,4,2
243,2,2,3,4,4,4,2,4,3,2
244,2,3,4,4,5,4,2,2,2,3
245,4,3,3,4,5,4,2,3,2,3
246,3,4,3,4,5,4,2,2,1,2
247,2,4,4,2,4,3,4,2,3,2
248,2,3,3,2,4,4,2,2,2,3
249,4,4,3,2,3,3,3,2,2,3
250,3,3,3,3,4,3,2,2,4,3
251,4,4,4,2,5,5,2,2,2,4
252,4,4,4,2,3,4,2,4,4,3
253,3,3,3,2,4,3,3,1,4,2
254,4,3,4,2,4,4,3,2,4,4
255,4,4,3,3,4,4,2,4,3,2
256,4,3,4,3,3,3,3,4,3,1
257,4,4,4,3,4,4,2,2,2,2
258,5,4,4,4,5,3,3,5,4,2
259,4,4,4,2,4,4,3,3,3,3
260,5,4,4,4,4,4,2,1,3,3
261,5,4,3,2,4,4,2,2,2,2
262,4,4,1,3,4,4,2,2,2,3
263,4,4,4,4,4,4,2,3,2,3
264,3,4,4,2,4,4,2,2,2,2
265,3,3,3,4,4,4,2,4,2,2
266,2,3,4,4,4,3,3,2,4,2
267,4,4,4,4,5,4,2,2,2,3
268,3,4,4,4,4,4,2,2,2,3
269,3,3,3,3,4,3,2,2,3,2
270,2,3,2,3,4,3,3,2,3,2
271,4,3,4,2,4,5,2,4,2,3
272,2,2,3,4,4,4,2,2,3,2
273,4,4,3,3,4,4,2,2,2,3
274,4,4,4,3,4,4,2,4,2,3
275,2,4,3,3,4,4,3,2,2,2
276,5,5,4,4,5,5,1,2,2,2
277,4,4,3,2,4,2,3,3,2,2
278,4,4,4,3,4,4,3,2,2,3
279,4,4,4,4,3,4,3,2,3,2
280,5,4,4,3,5,4,2,2,3,3
281,4,3,2,3,3,3,3,2,4,3
282,4,4,4,4,5,4,2,1,2,4
283,4,4,3,4,3,5,2,4,2,1
284,4,4,4,3,4,4,2,2,2,3
285,4,4,3,2,5,2,3,2,3,3
286,4,3,4,3,3,3,3,2,3,3
287,4,4,4,4,4,4,4,2,2,4
288,5,3,3,2,5,2,4,2,3,2
289,5,4,2,4,4,4,2,2,2,4
290,5,5,4,3,5,5,1,2,2,4
291,3,3,3,4,4,4,2,3,1,2
292,4,4,3,4,4,4,2,3,2,2
293,4,4,4,4,4,4,2,2,3,2
294,4,2,4,3,3,2,2,2,4,3
295,3,4,3,3,3,3,3,2,3,2
296,3,3,4,2,4,4,4,3,2,3
297,4,4,3,2,5,3,3,2,2,3
298,4,4,4,3,4,4,3,2,2,3
299,4,4,4,3,2,3,2,2,4,4
300,5,5,4,4,4,4,2,2,3,4
301,5,5,5,2,4,4,2,3,2,3
302,4,4,4,3,3,4,2,2,2,3
303,5,4,3,4,3,5,2,2,1,2
304,4,4,4,4,3,3,3,2,2,2
305,3,3,2,3,4,3,3,2,2,2
306,4,1,3,3,3,3,3,3,4,3
307,4,4,2,2,4,5,3,2,2,3
308,4,4,4,3,4,4,2,2,2,4
309,4,3,3,3,4,3,3,2,3,3
310,4,3,3,4,4,3,2,2,3,1
311,3,3,3,3,4,4,3,2,3,3
312,4,4,4,2,3,4,2,4,3,2
313,4,4,2,2,4,5,3,2,2,3
314,4,4,4,2,4,4,2,2,2,4
315,4,3,3,4,2,4,3,2,3,2
316,5,5,5,4,4,4,2,2,4,3
317,4,4,4,4,4,4,2,4,4,3
318,4,4,4,4,4,4,2,4,2,3
319,3,3,2,4,3,4,2,4,4,3
320,5,4,4,4,4,4,2,1,1,3
321,4,4,4,3,4,4,2,3,2,3
322,4,4,4,2,4,4,2,2,3,3
323,3,3,3,4,4,4,2,3,2,2
324,4,4,3,2,4,4,2,1,4,3
325,4,5,4,1,4,5,2,1,5,2
326,3,2,4,4,5,4,2,2,2,3
327,4,2,3,2,3,4,2,2,2,2
328,3,3,3,3,4,4,3,4,2,2
329,4,4,3,3,4,3,2,1,4,3
330,5,5,4,3,4,4,2,4,3,3
331,3,4,2,4,3,4,2,2,3,2
332,3,4,3,3,3,4,3,2,4,3
333,3,4,2,2,3,3,4,3,2,2
334,,,,3,3,4,2,2,4,3
335,3,4,4,4,4,3,2,2,3,3
336,1,1,1,2,2,2,4,4,4,1
337,4,4,4,2,4,4,2,2,2,2
338,5,4,4,4,4,5,2,2,4,3
339,5,5,5,3,3,5,3,3,4,3
340,4,3,3,2,4,4,2,5,3,3
341,5,5,4,,,5,2,4,4,4
342,4,3,4,3,3,3,3,4,3,3
343,2,1,3,3,2,4,4,2,2,1
344,3,2,1,4,2,4,3,2,2,1
345,4,3,4,3,4,4,3,4,2,3
346,2,2,3,4,4,4,1,2,4,3
347,4,2,3,4,4,4,2,4,4,3
348,3,3,3,3,4,3,3,3,3,3
349,4,4,4,4,4,4,2,2,2,3
350,4,4,4,4,5,4,3,2,2,2
351,3,4,4,3,4,3,3,2,2,3
352,4,4,4,4,4,4,2,2,2,2
353,4,4,3,3,4,4,2,2,3,2
354,3,4,3,2,3,3,3,3,3,2
355,2,2,2,4,3,4,3,2,2,2
356,3,2,3,3,3,3,3,2,3,3
357,3,4,3,3,2,3,2,3,3,2
358,4,4,4,4,2,4,2,4,4,4
359,4,4,4,5,4,4,2,2,2,2
360,4,4,4,3,4,4,3,2,2,2
361,4,4,4,4,4,4,2,4,4,2
362,4,4,3,2,4,4,2,3,3,2
363,4,3,3,2,4,5,4,1,5,1
364,3,4,2,3,4,3,4,2,2,2
365,4,4,3,4,4,4,3,3,3,3
366,3,3,3,4,4,5,2,2,2,3
367,2,2,2,3,3,3,3,2,3,2
368,3,3,3,3,3,3,3,2,3,1
369,3,3,3,2,4,4,2,2,4,1
370,3,3,3,3,3,3,3,2,2,2
371,3,4,3,3,5,3,2,2,3,3
372,3,3,3,4,4,4,2,2,3,3
373,4,4,4,4,3,5,2,2,2,2
374,4,4,4,4,2,4,2,2,2,2
375,4,4,4,4,3,4,2,2,2,2
376,4,4,3,3,,3,3,2,4,2
377,3,4,4,3,2,5,3,2,2,2
378,4,4,3,4,4,4,2,1,4,2
379,4,4,4,4,4,4,2,2,2,2
380,4,3,3,3,4,3,3,2,3,2
381,3,3,3,4,3,3,3,3,4,2
382,2,5,2,3,4,4,3,2,4,2
383,2,2,3,4,4,4,3,2,2,2
384,4,4,4,2,4,3,2,2,2,3
385,3,3,4,4,4,5,2,1,2,3
386,5,5,5,5,4,5,2,1,2,4
387,4,4,3,4,4,4,2,3,3,3
388,4,4,4,4,3,4,4,4,2,2
389,4,3,4,3,4,4,2,2,2,2
390,5,4,,3,4,4,1,2,2,1
391,3,3,3,4,2,3,3,3,4,2
392,4,4,4,4,3,3,3,2,3,3
393,5,3,1,4,3,4,2,2,1,1
394,2,2,4,2,4,4,3,2,2,2
395,4,4,4,4,3,4,2,2,4,3
396,4,4,4,3,2,4,3,3,3,3
397,5,5,4,5,3,3,1,3,2,1
398,3,3,3,4,3,3,2,2,4,1
399,3,4,4,4,3,4,2,3,3,3
400,4,4,4,3,3,4,2,2,2,2
401,4,4,4,4,4,4,3,1,2,3
402,4,4,4,2,4,3,3,2,2,2
403,2,3,3,3,3,4,4,2,4,2
404,5,5,4,3,4,4,2,2,2,3
405,3,4,3,4,3,4,3,2,3,3
406,4,4,3,3,4,4,3,2,2,3
407,3,4,4,3,4,3,2,2,3,3
408,5,5,5,4,4,4,2,2,2,4
409,4,4,3,2,2,4,3,1,1,3
410,4,4,4,4,4,4,2,3,3,4
411,4,3,4,4,4,4,2,2,3,3
412,3,2,3,3,3,3,2,3,4,2
413,3,3,3,3,3,4,4,2,4,2
414,5,4,4,2,5,3,3,3,2,3
415,4,4,4,4,4,4,2,2,2,3
416,4,3,4,3,5,4,2,2,2,3
417,4,3,4,4,4,4,2,2,3,4
418,3,3,3,5,5,5,2,2,3,3
419,3,3,3,3,4,3,2,1,3,2
420,2,3,3,3,3,4,2,2,3,3
421,3,4,4,3,4,4,3,2,3,3
422,4,4,5,3,4,4,3,3,3,2
423,4,4,4,3,4,4,2,3,2,3
424,5,4,4,5,4,5,2,2,3,3
425,3,4,4,4,4,4,3,2,2,3
426,4,4,4,4,4,4,2,1,2,3
427,3,3,4,2,4,3,3,2,1,3
428,4,4,4,3,4,3,2,2,3,3
429,4,3,4,4,4,4,3,2,3,3
430,4,4,4,4,3,4,2,2,2,1
431,4,3,3,4,4,4,2,4,2,4
432,4,4,4,1,4,3,4,4,3,3
433,4,4,4,3,4,4,2,4,2,3
434,3,3,3,4,3,4,3,1,3,1
435,4,3,3,5,5,4,1,4,4,1
436,3,4,4,4,2,4,3,2,2,2
437,3,3,3,4,5,3,2,2,3,4
438,3,3,4,3,4,3,2,2,3,2
439,3,3,2,3,3,4,3,3,4,2
440,2,4,2,4,4,3,3,2,1,2
441,3,3,3,2,4,4,2,3,2,2
442,4,4,2,3,3,3,3,2,3,3
443,3,3,3,3,3,3,3,3,3,3
444,2,2,4,4,2,3,3,1,4,4
445,4,3,3,3,4,3,2,,,3
446,3,3,3,3,4,4,2,3,3,2
447,3,3,2,3,4,4,3,3,2,2
448,3,2,3,3,4,4,2,2,2,2
449,4,4,4,4,4,5,2,3,3,3
450,4,4,4,4,4,4,4,4,2,4
451,4,4,3,5,4,4,3,3,2,3
452,4,4,4,3,4,4,3,2,3,3
453,4,4,3,2,4,3,3,2,2,2
454,3,3,3,3,4,3,2,2,2,4
455,3,4,3,3,3,3,3,2,3,3
456,4,4,4,4,4,4,2,2,2,3
457,2,3,2,4,4,4,4,4,4,1
458,3,3,3,2,4,4,2,2,2,2
459,4,3,3,3,4,4,2,3,4,2
460,4,3,1,2,3,4,3,2,5,1
461,4,3,3,4,4,4,1,4,4,2
462,3,4,3,3,2,4,3,2,3,3
463,4,1,4,3,2,2,4,4,4,2
464,3,3,3,3,3,4,2,4,2,2
465,3,4,4,4,3,4,2,4,4,3
466,3,3,3,2,3,4,2,2,5,4
467,3,3,2,3,4,4,3,1,3,4
468,4,3,4,2,4,4,2,2,2,2
469,4,4,4,4,4,4,2,1,3,4
470,4,4,3,3,4,4,2,2,4,3
471,4,3,4,4,4,4,2,3,3,2
472,4,3,4,4,5,4,4,4,2,3
473,4,3,3,3,4,3,3,2,3,2
474,3,3,2,2,4,3,3,2,3,3
475,2,3,4,2,4,4,3,2,3,2
476,4,4,4,4,4,4,2,2,2,3
477,4,4,4,3,5,5,2,3,2,1
478,4,5,4,4,5,5,2,2,2,3
479,3,4,3,3,4,3,4,1,3,2
480,3,3,3,3,4,4,2,3,3,2
481,4,3,4,3,4,4,2,2,1,4
482,3,4,4,2,4,4,2,4,2,3
483,4,4,4,4,4,4,2,2,3,3
484,3,4,3,3,4,4,3,3,3,3
485,4,4,4,3,4,4,2,2,3,3
486,3,4,3,3,3,4,3,2,3,3
487,4,4,4,3,4,3,3,2,3,2
488,3,4,3,4,3,5,2,3,3,5
489,3,3,3,3,4,4,2,3,4,3
490,4,4,3,4,4,4,2,2,2,3
491,4,4,4,4,,4,2,1,2,3
492,5,5,5,4,4,4,1,1,2,4
493,2,3,2,3,3,4,3,4,4,2
494,4,4,4,2,4,4,2,4,3,3
495,4,2,3,3,4,4,2,4,5,3
496,3,3,3,4,4,4,2,2,2,3
497,4,4,4,4,4,4,3,2,2,2
498,3,4,4,4,5,4,2,4,2,3
499,4,4,2,2,4,4,2,2,2,3
500,3,3,3,3,3,4,3,3,3,3
501,4,4,4,4,4,4,2,2,4,3
502,3,4,3,3,5,4,3,3,2,3
503,4,4,4,3,5,5,1,2,2,3
504,4,4,4,4,4,5,2,1,2,3
505,4,4,4,3,5,4,2,2,2,3
506,3,4,4,4,4,4,2,2,2,3
507,3,3,3,4,2,4,4,3,4,3
508,4,3,4,4,4,4,2,4,3,4
509,2,3,2,3,4,4,2,2,2,3
510,2,4,3,2,3,3,3,2,5,3
511,2,4,3,3,4,4,2,2,2,3
512,4,4,4,2,2,4,3,2,2,4
513,4,4,4,4,4,4,2,2,2,3
514,3,4,4,3,4,3,3,1,2,3
515,4,4,4,4,4,4,2,2,4,3
516,4,4,4,3,4,3,2,2,2,3
517,3,4,3,3,3,3,3,3,3,3
518,4,4,4,3,4,5,2,4,4,4
519,3,3,3,3,4,5,2,2,4,1
520,3,5,3,2,5,4,3,3,2,2
521,2,2,3,4,4,4,2,2,1,2
522,2,2,4,2,4,4,4,2,2,1
523,4,4,2,4,4,4,3,1,2,2
524,2,3,3,3,4,4,2,2,3,3
525,5,5,4,4,4,4,2,4,2,3
526,4,4,4,3,4,4,2,3,2,4
527,4,4,4,3,4,4,2,3,3,3
528,4,4,4,4,4,4,2,2,4,
529,4,4,4,3,2,3,3,2,3,2
530,4,4,4,3,4,3,3,3,3,3
531,3,2,2,4,4,4,2,2,2,2
532,2,2,3,4,4,4,2,1,2,1
533,4,4,2,4,4,4,2,4,4,4
534,3,3,4,4,4,4,2,2,2,3
535,2,2,4,3,3,4,2,3,2,2
536,3,4,3,4,4,4,2,2,3,3
537,3,4,3,2,4,3,2,2,2,2
538,3,3,2,3,4,3,2,2,2,3
539,2,2,3,3,4,2,2,1,1,2
540,3,3,3,3,4,3,3,2,2,3
541,2,2,3,3,4,4,2,2,3,3
542,3,4,3,3,3,3,2,2,2,2
543,4,3,3,4,3,4,2,2,3,2
544,3,2,2,4,3,4,2,3,3,3
545,4,4,4,3,3,3,2,2,2,2
546,3,2,3,4,4,4,2,2,2,3
547,2,3,4,3,4,2,3,2,2,2
548,4,4,4,3,4,4,2,2,2,3
549,2,2,3,4,3,2,2,2,2,2
550,2,2,1,5,3,4,2,2,2,1
551,2,2,2,4,,2,2,4,2,2
552,5,5,5,4,4,4,2,4,2,3
553,2,2,2,3,3,4,3,2,3,3
554,3,2,3,2,2,3,3,4,4,2
555,4,3,3,3,4,4,2,2,2,3
556,4,4,4,4,4,4,2,2,2,3
557,2,1,2,4,4,4,2,4,2,3
558,3,5,3,3,3,4,2,1,2,3
559,3,4,3,3,3,4,2,3,4,2
560,1,2,2,3,3,4,3,3,3,3
561,3,3,4,4,3,4,2,2,2,4
562,2,2,3,4,4,4,3,2,3,3
563,3,3,2,4,4,4,2,2,2,3
564,3,2,4,5,,5,1,2,2,3
565,2,1,3,2,4,4,3,2,4,3
566,3,2,3,3,2,4,3,4,4,
567,2,3,3,4,3,5,2,2,5,2
568,2,4,4,4,2,4,2,2,2,2
569,3,3,4,4,4,4,1,4,4,2
570,2,2,3,3,5,4,2,2,3,2
571,3,4,2,3,4,4,2,2,2,3
572,2,2,2,4,4,4,2,1,2,2
573,2,1,2,3,4,4,2,2,2,3
574,2,2,3,3,3,3,3,3,3,2
575,3,3,3,3,4,3,3,3,4,2
576,3,4,3,2,4,3,3,2,2,3
577,4,4,4,4,4,4,2,4,2,2
578,3,2,3,2,3,3,4,5,4,3
579,4,4,4,3,3,4,2,2,4,2
580,4,4,4,5,4,4,1,2,2,3
581,3,4,4,2,5,4,4,3,3,2
582,3,3,3,2,3,4,3,2,3,1
583,4,4,3,4,4,4,2,3,3,3
584,4,3,2,4,4,4,3,2,2,3
585,5,5,2,2,3,3,3,2,2,3
586,3,2,3,3,3,4,4,2,2,3
587,3,5,3,4,4,5,2,1,1,3
588,2,3,4,3,4,4,2,2,2,3
589,4,4,3,3,4,4,3,2,2,2
590,2,3,3,4,4,4,2,2,2,1
591,4,3,4,5,3,5,2,2,2,2
592,5,5,3,4,3,3,2,2,3,3
593,5,4,4,4,4,4,2,3,2,3
594,4,3,3,4,4,4,2,2,3,3
595,4,4,4,3,4,4,2,4,4,2
596,3,4,3,3,3,3,3,2,2,2
597,4,4,4,4,4,4,2,4,2,3
598,3,3,3,1,3,3,3,3,3,3
599,4,4,4,3,3,4,2,3,2,3
600,3,3,3,4,4,4,2,2,2,3
601,4,5,5,2,3,2,2,4,2,4
602,3,3,3,3,3,3,3,2,2,2
603,4,4,4,2,4,3,2,2,2,3
604,3,4,3,4,4,3,3,2,2,1
605,2,3,3,3,2,5,3,2,2,1
606,4,4,4,3,3,4,2,2,3,3
607,4,4,4,2,2,2,3,2,2,2
608,4,4,4,3,3,5,2,4,2,3
609,3,3,3,3,3,3,3,2,3,2
610,5,5,5,4,3,5,2,2,1,3
611,3,4,3,2,4,3,4,4,4,3
612,3,4,4,3,4,4,3,2,3,3
613,2,3,4,4,3,4,2,4,3,3
614,4,4,2,4,3,4,2,2,3,2
615,4,4,4,3,4,4,2,1,1,3
616,3,4,4,3,3,4,2,2,3,3
617,3,2,2,3,2,3,3,4,4,2
618,5,5,5,3,3,4,3,2,2,2
619,2,1,3,2,4,4,3,1,3,2
620,4,4,4,3,4,4,2,3,3,2
621,4,4,3,4,5,5,2,2,2,2
622,3,4,3,3,4,3,4,4,2,2
623,3,2,4,2,,2,3,2,2,2
624,4,4,4,4,4,4,3,2,2,2
625,2,2,3,3,4,4,2,3,3,2
626,3,2,3,3,3,4,2,2,3,3
627,4,4,4,3,4,4,2,2,2,1
628,3,1,3,1,3,3,4,3,3,2
